t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
370.43036231706157,1085.601716047662,1622.908027418904,1501.6083549256361,934.1044810631022,267.2916763237074,-260.74705324496335,-356.3329746898495,-126.61366217842244,35.22142001150973,43.96209873655347
609.7450040195753,1231.321516078282,1639.9870243830835,1467.7328340792888,944.2765404127936,350.60194237542385,-115.47491152441476,-205.02598726319695,-36.35304993607886,71.52228537962353,55.75109526884123
864.2828204731834,1397.864113289352,1686.294436792749,1467.2223475413366,980.2187368062383,443.1127415148465,15.312270241907171,-86.7427482229414,28.079385225686124,99.058699794429,66.11608045920944
1120.2157187028197,1573.168036059529,1750.9613111294595,1488.486026593792,1029.0706357237154,531.2320324403612,120.73633902940193,-3.185287252492202,70.86468703059758,120.1209485090498,75.11043578702574
1363.8523779949003,1744.5672374602427,1822.3666108986183,1519.8657999718555,1079.0430650284015,604.081695301089,194.85619454543922,48.4697767661485,97.3432256129197,136.79316117704923,82.68252511772882
1583.5617673312593,1900.7337198957382,1889.90797544486,1551.164559092567,1120.7688980304638,654.642268288151,236.8474352506044,74.26924243641209,113.02656029421269,150.74327549587926,88.70149941648204
1771.0173973368246,2033.038646482364,1945.264671197035,1574.6545500719997,1148.0205696421883,680.0193067178222,250.14330112667565,81.80287862865548,122.79062549258448,163.09942009177254,92.99563599344397
1921.5712654579154,2136.1061304174646,1982.9465841608799,1585.420299521364,1157.7286492870808,680.9128606597816,240.93872716203504,78.63490255696323,130.3769858200667,174.4183036201365,95.39544162475609
2033.8747744413238,2207.6254642656477,2000.1807726161294,1581.12420134741,1149.4696716056953,660.6095924039759,216.5791476879029,71.19262742553994,138.21964342623707,184.73279363167418,95.7726510881048
2109.0794479794927,2247.708588622801,1996.3836173657382,1561.4435994077621,1124.7185837465724,623.8849688803771,184.25199510098648,64.2251489379044,147.52802624239544,193.654423644346,94.067899498938
2149.9862136972397,2258.138932674792,1972.5207960545997,1527.4516792451175,1086.1371105384778,576.0963774973842,150.16226062475823,60.73962996513221,158.51562683626346,200.50366464138392,90.30362300712797
2160.3810850169084,2241.7552802357136,1930.5691390143256,1481.1145052964214,1037.0338644236538,522.5551840945287,119.14465474665172,62.21898328314208,170.66860770604703,204.4450209423265,84.58310520957443
2144.594972618534,2202.0335155519233,1873.137821468289,1424.9301682200776,980.9791783921678,468.10638605238773,94.54770234194518,68.93068831885188,182.98319559415566,204.61202400201816,77.07984722733796
2107.175590761313,2142.781474401524,1803.179297008072,1361.6325645236575,921.4751093794595,416.79523949428955,78.23681114701907,80.20903487069026,194.14342137853615,200.215367065686,68.02258462582212
2052.531467550325,2067.821015615772,1723.686328348924,1293.870493316211,861.5997672444705,371.5564821749447,70.64690230845838,94.67525938845539,202.64511740039597,190.6331705972056,57.68033115464192
1984.4920993541732,1980.5965820515062,1637.3287393260894,1223.8387241369005,803.6298288379055,333.956172844667,70.89294380008901,110.41320284591751,206.8906795738776,175.4847491528669,46.34965773921953
1905.8519363976884,1883.7596449700634,1546.0775142787534,1152.923867014556,748.726751784452,304.0730109230296,76.97209397564095,125.13347924177549,205.28272221736555,154.68874474523543,34.34417895857288
1818.046146587443,1778.8569552444765,1450.9281976123095,1081.4745212510293,696.795670181778,280.59032853475486,86.06644338125047,136.34960198882115,196.33837004844582,128.50435440470704,21.984866456286092
