t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
-19301.773721905127,9102.47351733481,10139.30656708986,6533.438195864001,926.0841766662026,-4415.058477664921,-8374.158657285749,-10693.889593365602,-11381.051208671382,-10377.703062421115,-7752.8831445706455,-4200.205287426179,-1133.7128662465748,197.23792703075782
-18093.01229518909,7559.927228976435,7570.908394824842,4017.5782309714377,-458.5354489025376,-4127.453765966243,-6543.825297039294,-7981.6735892727975,-8667.741658822479,-8367.054130105542,-6684.939068607288,-3875.7079214760497,-1190.7950047927309,45.13114125436722
-15561.90625360024,6441.835327742249,5227.631056740565,1626.7307937750343,-1905.1986768330894,-4230.335886554432,-5469.367307142629,-6255.66435796821,-6895.398716738547,-6960.253109797527,-5758.113849947664,-3373.858063558715,-1039.9351279159755,-32.850245586245
-12886.72227056154,5276.372655694503,3017.8136924891387,-394.49133938712373,-2982.193959650164,-4228.302182806547,-4673.141380794022,-5104.0126087428325,-5735.4895277396545,-5919.916053661129,-4848.656305247061,-2692.925572188982,-741.8138796514907,-70.0216340224171
-10443.713425261101,3784.1607565984486,1029.7681489054241,-1817.0966999967634,-3463.213933383785,-3928.4525643041598,-3972.1039712019665,-4315.30733519479,-4930.050747692111,-4990.419083438477,-3808.819999050111,-1842.4235382158731,-378.8922384935329,-105.60933603329849
-8058.783848620227,2205.089245165836,-375.902659348784,-2426.6352611105062,-3316.0821469912403,-3388.1882732934714,-3378.653086464297,-3743.5156836196493,-4174.262568917135,-3871.9726689435106,-2543.8410364077763,-946.6642287586944,-111.55336008767208,-194.1265062377483
-5434.19454738633,1191.14819495425,-834.1147289945704,-2233.0983205102493,-2780.762922117695,-2842.8400887763632,-2889.336052714995,-3054.6592900810365,-2996.1379644146878,-2328.809116951833,-1236.2562562941096,-393.12299413689493,-201.45832345006536,-392.06597233620937
-2806.9677641485464,1244.5652182340682,-434.5506610071897,-1696.6254050591172,-2324.9001714434958,-2383.6069262984806,-2014.2746534140692,-1421.5820835784662,-873.4046777588445,-602.7944111906536,-656.762324400155,-846.0306176373462,-892.2306352570988,-705.7181630493374
-1709.3035990132014,1659.5208262902397,-365.5431630700524,-1890.8316765736815,-2294.1938153646397,-1248.080426556142,796.6875857185614,2379.6228403940795,2065.286969910179,-5.34204378884202,-2134.08984889187,-2835.7604648648407,-2110.0060780979175,-1027.519688440885
-4717.304994304777,-1423.4677090635103,-3898.252452130803,-4624.38753081911,-2359.3983084518527,2786.3737517393793,7957.436406248858,8833.460506377141,4004.1572217197595,-2825.1812179769536,-6618.227018644333,-5980.132583314157,-3233.800291931517,-1148.25460346325
-12949.578119439939,-15422.988063154411,-16176.599531675822,-12039.334619574678,-1368.1949076850794,12594.225444608719,20846.112139342276,16005.404466880505,1583.592029220262,-10646.064641101964,-13239.79931193406,-8680.184226449179,-3365.8992695377756,-899.6343039513583
-23111.91706427393,-43912.355946578646,-39655.84447803475,-24839.57696886373,1795.7912466245082,28999.584400790885,37347.07738579193,19640.11447810521,-7616.069045922806,-22181.549109006537,-19161.948159888103,-9106.347493890715,-2055.922145999304,-314.7514513002691
-28517.541583151142,-75980.2148568405,-67650.34976615786,-39907.00615409742,7124.129485655112,48693.19457264012,52014.85449405857,16145.369081792647,-22384.200298095886,-33470.579009472924,-21564.81562573043,-6680.73649863065,301.25094666881967,388.29784875466714
-23926.87927800759,-92330.9151229386,-86172.3728588644,-50327.41332151196,13855.216202889953,65787.734917502,59417.286089827896,5377.831438418981,-38414.99684378656,-40675.350360947064,-19629.630894628826,-2320.9646899953873,2885.786022687643,992.2326705068866
-8635.902799589448,-86701.837758476,-85873.80920086283,-49508.57112719872,21680.079716937173,75461.24778899521,57022.28478708957,-9792.516709017445,-51244.15912997916,-42161.79604424716,-14387.84035318077,2605.0768581715874,5097.35223029763,1410.3120321794281
13910.668345792557,-70747.92718527764,-69744.97545475922,-36247.459108139956,30346.820787919733,75800.90492822074,45549.352061521495,-25505.089110387402,-58106.961643661,-38291.47961451893,-7446.23134699083,7102.722375832174,6707.229344777428,1648.9267383310817
37724.04258887723,-56491.70726901792,-47579.329271985305,-15574.734498021155,38293.729117539675,67488.01570450084,28170.397587576503,-38229.79783432474,-58183.199990981884,-30547.0720218232,-287.206496546929,10605.277281780867,7664.282749559616,1724.3010832402026
56766.58807994811,-45509.623876625534,-26726.160662741964,5273.158594559071,42981.79747490685,53000.22413882057,9308.406230148139,-45635.83580682338,-52406.443577908285,-20931.370605246208,5935.887970291271,12850.931921168056,7982.253215668847,1645.1314117202203
67558.17285768809,-34708.35834962142,-9626.246718659952,21186.517177029276,42659.78553157048,35697.08304627318,-7001.192704884053,-47167.719290051646,-42890.94271285358,-11355.02551706977,10561.370851701176,13847.623144375206,7739.861330958586,1434.0189714905225
69971.59160554169,-23104.10582489559,3595.476847299918,30418.16764572874,37407.04864753897,18807.094875951767,-18364.082703791984,-43855.01192452578,-32008.400047068644,-3138.492823940095,13441.523388507398,13801.209482589857,7068.336380699836,1134.1279149817587
66202.19916869151,-11958.793349603127,13121.112520554547,33548.23547643525,28776.198232098224,4675.874513483822,-24289.003098489946,-37546.57676140653,-21635.608964100247,3127.237953569779,14793.067562449703,13005.87192182873,6118.769896158285,798.5493178465262
