q1,q2,q3,q4,q5,q6,q7,q8,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8
0.19869733661701205,0.3894709812493948,0.56471322448046,0.7174357212135901,0.8415481732905901,0.9321011996152714,0.9854837085590845,0.9995669017926749,0.9800609003634957,1.8420774736852232,2.475861621107273,2.7864988381170686,2.7009103651883333,2.173187689162579,1.188390149768599,-0.23542422517222733,-0.19869733661701205,-1.557883924997579,-5.08241902032414,-11.478971539417442,-21.03870433226475,-33.55564318614977,-48.28870171939514,-63.972281714731196
0.20848924487186307,0.4078152454893723,0.5892174884216107,0.7447232215906601,0.8674978621533808,0.9521453810704422,0.9949454622562889,0.9940170130039416,0.9780246595933869,1.8261289390910413,2.4239234233042843,2.6694938043715437,2.487204551094029,1.833873016057548,0.7029173704251167,-0.8738028284219419,-0.20848924487186307,-1.6312609819574893,-5.302957395794496,-11.915571545450561,-21.68744655383452,-34.27723371853592,-48.75232765055816,-63.617088832252264
0.2182602984179544,0.4259963424542806,0.6131913448713616,0.770818983251942,0.8912786386290492,0.9687618883756591,0.9995325814988548,0.9821069914378516,0.9758905892232518,1.809449768538022,2.369803234695585,2.5482169297246022,2.2672802447180445,1.4879564948982102,0.21400071866588818,-1.5065904790649214,-0.2182602984179544,-1.7039853698171223,-5.518722103842254,-12.333103732031072,-22.28196596572623,-34.87542798152373,-48.97709649344389,-62.854847452022504
0.22800951987884585,0.4440069978695986,0.6366132128119926,0.7956812466167109,0.9128310461783652,0.981890902963627,0.999222592160958,0.9639130423479875,0.9736589027193343,1.7920466353784728,2.3135497737154336,2.42286228674261,2.0416872993489443,1.136683407278312,-0.27596440792547877,-2.12973833948037,-0.22800951987884585,-1.7760279914783943,-5.729518915307933,-12.730899945867375,-22.82077615445913,-35.34807250669057,-48.96190701588694,-61.6904347102712
0.23773593406191137,0.4618400056546346,0.6594620081201324,0.8192702260022396,0.9321011996152714,0.9914851610605437,0.9940170130039416,0.9395515781603361,0.9713298233122004,1.7739265026228421,2.2552136791478232,2.2936304734154165,1.8109897409688158,0.781318318153948,-0.7645774748692007,-2.7392592514201723,-0.23773593406191137,-1.8473600226185385,-5.935158073081192,-13.108323616035834,-23.302529990381785,-35.693465798179574,-48.70683363719314,-60.13130100226151
0.24743856805588546,0.47948823080568587,0.681717162546469,0.8415481732905901,0.949040919830269,0.997510123833243,0.9839413482353007,0.9091784736183449,0.9689035839744081,1.7550966201538118,2.1948474645419713,2.1607282921506665,1.5757643580792546,0.42314052347509507,-1.2494445719646956,-3.331253247499663,-0.24743856805588546,-1.9179529232227435,-6.13545446291822,-13.464770772649441,-23.726022995756722,-35.91036445799675,-48.213126063529735,-58.187422311574075
0.2571164513281814,0.49694461225076075,0.7033586422310747,0.8624794383348057,0.9636078542475053,0.9999441017272083,0.9690449625534004,0.8729880684317174,0.9663804273972041,1.7355645218256117,2.1325054709401643,2.0243684188395283,1.3365992596185912,0.06343944478630795,-1.7281901420110157,-3.9019325048051487,-0.2571164513281814,-1.987778449003043,-6.330227780079673,-13.79967101335689,-24.090196356187633,-35.9979876621795,-47.48320316511662,-55.87123637962991
0.26676861582197114,0.5142021656747203,0.7243669657376798,0.882030526007837,0.9757655827144033,0.9987783325478478,0.9494008392901417,0.8312119238104151,0.963760605966248,1.7153380224497183,2.068243817960514,1.8847690625234201,1.0940924045758316,-0.29649001262415553,-2.198468619608556,-4.447645580954588,-0.26676861582197114,-2.0568086626988813,-6.519302691639118,-14.112488416125393,-24.394139567860083,-35.95601997172252,-46.52064112521695,-53.197563123866566
0.27639409605301823,0.5312539863137096,0.7447232215906601,0.9001701498029123,0.9854837085590846,0.9940170130039416,0.9251052228365212,0.7841173408400745,0.9610443817363665,1.6944252146681398,2.0021203532786576,1.7421536162063427,0.8488501069775695,-0.6553521213164564,-2.6579759230190425,-4.964900777539163,-0.27639409605301823,-2.1250159452548383,-6.702508994315941,-14.402722396846597,-24.637092713977115,-35.7846124681419,-45.33015591898954,-50.183509813764765
0.28599192920625255,0.5480932517177604,0.7644090852989516,0.9168692818995744,0.9927379345879263,0.9856772835997081,0.896277147102994,0.7320056501788912,0.9582320264053409,1.6728344657155434,1.9341946005538797,1.5967502993716143,0.6014855199856924,-1.0118549962509582,-3.1044607427804563,-5.45038848145666,-0.28599192920625255,-2.1923730068710414,-6.879681767690564,-14.66990851039319,-24.818448364698156,-35.48438220958949,-43.91758020804671,-46.848361611449036
0.2955611552320791,0.56471322448046,0.7834068358515682,0.9321011996152714,0.997510123833243,0.9737891669298732,0.8630578523248914,0.6752102840191931,0.9553238212867293,1.6505744140715153,1.864527705846525,1.4487917927750527,0.3526171028959114,-1.3647152455075917,-3.5357355717696066,-5.901002341187649,-0.2955611552320791,-2.25885289792184,-7.0506615226641145,-14.913619193844342,-24.937753095831074,-35.056410009475435,-42.28983476391968,-43.21345817722836
0.3051008169424089,0.5811072549345941,0.8016993716698724,0.9458415281681631,0.9997883448992131,0.9583954595998833,0.8256100930702054,0.6140946426500994,0.9523200572817285,1.6276539660042988,1.7931823825749533,1.2985148660990453,0.10286707486995861,-1.7126625904304182,-3.9496874226715377,-6.313859142519779,-0.3051008169424089,-2.3244290197383766,-7.215294345028852,-15.13346445069061,-24.994708622480328,-34.5022365455958,-40.45489456044007,-39.30205712960636
